word,doc
integriter,Latin.docx
interdico,Latin.docx
interficio,Latin.docx
interim,Latin.docx
intermissio,Latin.docx
intestatus,Latin.docx
invado,Latin.docx
invalidus,Latin.docx
invenio,Latin.docx
invicem,Latin.docx
ipse,Latin.docx
ira,Latin.docx
irascor,Latin.docx
irritum,Latin.docx
iste,Latin.docx
ito,Latin.docx
iubeo,Latin.docx
iudicatum,Latin.docx
iudico,Latin.docx
iuratus,Latin.docx
iuro,Latin.docx
ius,Latin.docx
iuuamen,Latin.docx
jacto,Latin.docx
judex,Latin.docx
judicium,Latin.docx
jungo,Latin.docx
jurejurando,Latin.docx
justa,Latin.docx
juste,Latin.docx
justum,Latin.docx
juxta,Latin.docx
labia,Latin.docx
laboro,Latin.docx
lancea,Latin.docx
latro,Latin.docx
laudatus,Latin.docx
laudo,Latin.docx
laus,Latin.docx
legalis,Latin.docx
legitimus,Latin.docx
lego,Latin.docx
leo,Latin.docx
lex,Latin.docx
libeo,Latin.docx
liber,Latin.docx
liceo,Latin.docx
liceor,Latin.docx
ligo,Latin.docx
lingua,Latin.docx
littera,Latin.docx
loco,Latin.docx
locum,Latin.docx
locutio,Latin.docx
lubrico,Latin.docx
lucrum,Latin.docx
magister,Latin.docx
magnas,Latin.docx
magnus,Latin.docx
mala,Latin.docx
malefactor,Latin.docx
malefactum,Latin.docx
malo,Latin.docx
malum,Latin.docx
mamilla,Latin.docx
mandatum,Latin.docx
mando,Latin.docx
manifeste,Latin.docx
manifestus,Latin.docx
manus,Latin.docx
mare,Latin.docx
marita,Latin.docx
maritus,Latin.docx
mater,Latin.docx
matus,Latin.docx
medietas,Latin.docx
medium,Latin.docx
medius,Latin.docx
melioratus,Latin.docx
melioro,Latin.docx
membrum,Latin.docx
menion,Latin.docx
mentior,Latin.docx
mentum,Latin.docx
merces,Latin.docx
messis,Latin.docx
meum,Latin.docx
miles,Latin.docx
mille,Latin.docx
minuo,Latin.docx
minus,Latin.docx
missio,Latin.docx
missus,Latin.docx
mitis,Latin.docx
mitto,Latin.docx
mobilis,Latin.docx
moderatus,Latin.docx
modicus,Latin.docx
modus,Latin.docx
molinum,Latin.docx
monasterium,Latin.docx
